FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation
152996.53125,153197.171875,153367.671875,153506.421875,153336.109375,153382.6875,153588.953125,153397.4375,4846.0,1.0
152996.53125,153197.171875,153367.671875,153506.421875,153336.109375,153382.6875,153588.953125,153397.4375,4847.0,0.0
150968.15625,151167.8125,151339.5625,151476.890625,151307.09375,151353.140625,151559.234375,151368.34375,4848.0,1.0
150968.15625,151167.8125,151339.5625,151476.890625,151307.09375,151353.140625,151559.234375,151368.34375,4849.0,0.0
148259.9375,148458.0625,148632.046875,148766.875,148598.703125,148643.40625,148848.953125,148659.40625,4850.0,1.0
148259.9375,148458.0625,148632.046875,148766.875,148598.703125,148643.40625,148848.953125,148659.40625,4851.0,0.0
154752.9375,154954.546875,155123.703125,155264.078125,155092.421875,155140.34375,155345.890625,155154.46875,4852.0,1.0
154752.9375,154954.546875,155123.703125,155264.078125,155092.421875,155140.34375,155345.890625,155154.46875,4853.0,0.0
147059.109375,147257.234375,147431.484375,147565.328125,147398.140625,147442.125,147647.046875,147458.3125,4854.0,1.0
147059.109375,147257.234375,147431.484375,147565.328125,147398.140625,147442.125,147647.046875,147458.3125,4855.0,0.0
153023.453125,153224.875,153394.9375,153533.609375,153363.375,153410.125,153615.765625,153424.890625,4856.0,1.0
153023.453125,153224.875,153394.9375,153533.609375,153363.375,153410.125,153615.765625,153424.890625,4857.0,0.0
151205.453125,151405.1875,151577.015625,151714.078125,151543.84375,151590.703125,151796.25,151605.625,4858.0,1.0
151205.453125,151405.1875,151577.015625,151714.078125,151543.84375,151590.703125,151796.25,151605.625,4859.0,0.0
148283.53125,148482.109375,148655.734375,148790.5625,148622.75,148667.8125,148873.0,148683.453125,4860.0,1.0
148283.53125,148482.109375,148655.734375,148790.5625,148622.75,148667.8125,148873.0,148683.453125,4861.0,0.0
154904.5625,155106.09375,155275.078125,155415.796875,155244.5,155292.15625,155497.875,155305.828125,4862.0,1.0
154904.5625,155106.09375,155275.078125,155415.796875,155244.5,155292.15625,155497.875,155305.828125,4863.0,0.0
147220.671875,147418.96875,147593.140625,147726.796875,147559.78125,147603.6875,147808.78125,147619.953125,4864.0,1.0
147220.671875,147418.96875,147593.140625,147726.796875,147559.78125,147603.6875,147808.78125,147619.953125,4865.0,0.0
153040.703125,153241.15625,153411.828125,153550.953125,153380.0,153427.03125,153632.75,153441.328125,4866.0,1.0
153040.703125,153241.15625,153411.828125,153550.953125,153380.0,153427.03125,153632.75,153441.328125,4867.0,0.0
151432.359375,151631.828125,151803.3125,151941.4375,151771.390625,151817.796875,152022.890625,151832.640625,4868.0,1.0
151432.359375,151631.828125,151803.3125,151941.4375,151771.390625,151817.796875,152022.890625,151832.640625,4869.0,0.0
148313.578125,148512.234375,148685.953125,148820.875,148652.421875,148697.484375,148902.765625,148713.21875,4870.0,1.0
148313.578125,148512.234375,148685.953125,148820.875,148652.421875,148697.484375,148902.765625,148713.21875,4871.0,0.0
155054.328125,155256.203125,155425.015625,155566.09375,155394.25,155441.734375,155647.90625,155456.21875,4872.0,1.0
155054.328125,155256.203125,155425.015625,155566.09375,155394.25,155441.734375,155647.90625,155456.21875,4873.0,0.0
147391.34375,147589.5625,147763.8125,147897.921875,147729.921875,147774.625,147979.546875,147791.078125,4874.0,1.0
147391.34375,147589.5625,147763.8125,147897.921875,147729.921875,147774.625,147979.546875,147791.078125,4875.0,0.0
153056.625,153257.328125,153427.203125,153566.6875,153396.625,153442.765625,153648.484375,153457.609375,4876.0,1.0
153056.625,153257.328125,153427.203125,153566.6875,153396.625,153442.765625,153648.484375,153457.609375,4877.0,0.0
151659.359375,151859.546875,152031.03125,152168.265625,151998.84375,152044.890625,152250.609375,152060.09375,4878.0,1.0
151659.359375,151859.546875,152031.03125,152168.265625,151998.84375,152044.890625,152250.609375,152060.09375,4879.0,0.0
148347.734375,148546.03125,148719.65625,148855.109375,148686.84375,148731.28125,148936.828125,148747.5625,4880.0,1.0
148347.734375,148546.03125,148719.65625,148855.109375,148686.84375,148731.28125,148936.828125,148747.5625,4881.0,0.0
155190.578125,155392.109375,155560.640625,155701.90625,155530.234375,155577.625,155783.890625,155591.9375,4882.0,1.0
155190.578125,155392.109375,155560.640625,155701.90625,155530.234375,155577.625,155783.890625,155591.9375,4883.0,0.0
147555.40625,147753.4375,147927.609375,148061.8125,147894.171875,147938.515625,148144.328125,147954.96875,4884.0,1.0
147555.40625,147753.4375,147927.609375,148061.8125,147894.171875,147938.515625,148144.328125,147954.96875,4885.0,0.0
153062.875,153263.953125,153434.0,153573.125,153402.71875,153449.46875,153655.203125,153464.046875,4886.0,1.0
153062.875,153263.953125,153434.0,153573.125,153402.71875,153449.46875,153655.203125,153464.046875,4887.0,0.0
151876.171875,152076.1875,152247.484375,152385.53125,152215.65625,152262.0625,152467.609375,152276.8125,4888.0,1.0
